Žô‚¢‚ÌŠÙ,,,,,,,,
Easy,,,,,,,,
,,,,,,,,
,,,,,,,,
3.675,3.7,"3.7f,",,2.7,"2.7f,",,0.1,
6.64,6.6,"6.6f,",,5.6,"5.6f,",,,5
8.128,8.1,"8.1f,",,7.1,"7.1f,",,,
9.655,9.7,"9.7f,",,8.7,"8.7f,",,,1
11.086,11.1,"11.1f,",,10.1,"10.1f,",,,
12.58,12.6,"12.6f,",,11.6,"11.6f,",,,
14.078,14.1,"14.1f,",,13.1,"13.1f,",,,
15.535,15.5,"15.5f,",,14.5,"14.5f,",,,
17.002,17,"17f,",,16,"16f,",,,
18.51,18.5,"18.5f,",,17.5,"17.5f,",,,
20.071,20.1,"20.1f,",,19.1,"19.1f,",,,
21.708,21.7,"21.7f,",,20.7,"20.7f,",,,
23.044,23,"23f,",,22,"22f,",,,
24.586,24.6,"24.6f,",,23.6,"23.6f,",,,
26.095,26.1,"26.1f,",,25.1,"25.1f,",,,
27.603,27.6,"27.6f,",,26.6,"26.6f,",,,
28.996,29,"29f,",,28,"28f,",,,
30.59,30.6,"30.6f,",,29.6,"29.6f,",,,
32.078,32.1,"32.1f,",,31.1,"31.1f,",,,
33.673,33.7,"33.7f,",,32.7,"32.7f,",,,
35.014,35,"35f,",,34,"34f,",,,
36.6,36.6,"36.6f,",,35.6,"35.6f,",,,
38.026,38,"38f,",,37,"37f,",,,
39.569,39.6,"39.6f,",,38.6,"38.6f,",,,
41.036,41,"41f,",,40,"40f,",,,
42.678,42.7,"42.7f,",,41.7,"41.7f,",,,
43.103,43.1,"43.1f,",,42.1,"42.1f,",,,
44.145,44.1,"44.1f,",,43.1,"43.1f,",,,
45.683,45.7,"45.7f,",,44.7,"44.7f,",,,
46.031,46,"46f,",,45,"45f,",,,
47.178,47.2,"47.2f,",,46.2,"46.2f,",,,
49.344,49.3,"49.3f,",,48.3,"48.3f,",,,
50.066,50.1,"50.1f,",,49.1,"49.1f,",,,
50.754,50.8,"50.8f,",,49.8,"49.8f,",,,
51.512,51.5,"51.5f,",,50.5,"50.5f,",,,
52.233,52.2,"52.2f,",,51.2,"51.2f,",,,
53.053,53.1,"53.1f,",,52.1,"52.1f,",,,
53.85,53.9,"53.9f,",,52.9,"52.9f,",,,
54.762,54.8,"54.8f,",,53.8,"53.8f,",,,
57.601,57.6,"57.6f,",,56.6,"56.6f,",,,
60.655,60.7,"60.7f,",,59.7,"59.7f,",,,
63.671,63.7,"63.7f,",,62.7,"62.7f,",,,
66.617,66.6,"66.6f,",,65.6,"65.6f,",,,
67.392,67.4,"67.4f,",,66.4,"66.4f,",,,
68.084,68.1,"68.1f,",,67.1,"67.1f,",,,
68.872,68.9,"68.9f,",,67.9,"67.9f,",,,
69.627,69.6,"69.6f,",,68.6,"68.6f,",,,
70.414,70.4,"70.4f,",,69.4,"69.4f,",,,
71.142,71.1,"71.1f,",,70.1,"70.1f,",,,
71.845,71.8,"71.8f,",,70.8,"70.8f,",,,
72.592,72.6,"72.6f,",,71.6,"71.6f,",,,
74.162,74.2,"74.2f,",,73.2,"73.2f,",,,0.1
75.662,75.7,"75.7f,",,74.7,"74.7f,",,,
77.082,77.1,"77.1f,",,76.1,"76.1f,",,,
78.617,78.6,"78.6f,",,77.6,"77.6f,",,,
80.109,80.1,"80.1f,",,79.1,"79.1f,",,,
81.549,81.5,"81.5f,",,80.5,"80.5f,",,,
83.072,83.1,"83.1f,",,82.1,"82.1f,",,,
84.634,84.6,"84.6f,",,83.6,"83.6f,",,,
85.053,85.1,"85.1f,",,84.1,"84.1f,",,,
86.125,86.1,"86.1f,",,85.1,"85.1f,",,,
87.652,87.7,"87.7f,",,86.7,"86.7f,",,,
88.059,88.1,"88.1f,",,87.1,"87.1f,",,,
89.097,89.1,"89.1f,",,88.1,"88.1f,",,,
,,,,89.1,"89.1f,",,,
