Ç±ÇÒÇ«Ç±ÇªéÄê_ÇÃÉèÉãÉcEasy,,,,,
,,,,,
,,,,,
0.115,"0.115f,",4,1,,0.1
0.511,"0.511f,",,,,
1.26,"1.26f,",,,,
1.607,"1.607f,",,,,
2.395,"2.395f,",,,,
2.775,"2.775f,",,,,
3.493,"3.493f,",,,,
3.865,"3.865f,",,,,
4.643,"4.643f,",,,,
5.043,"5.043f,",,,,
5.811,"5.811f,",,,,
6.214,"6.214f,",,,,
6.905,"6.905f,",,,,
7.303,"7.303f,",,,,
8.073,"8.073f,",,,,
8.463,"8.463f,",,,,
9.032,"9.032f,",,,,
9.447,"9.447f,",,,,
10.215,"10.215f,",,,,
10.6,"10.6f,",,,,
11.35,"11.35f,",,,,
11.733,"11.733f,",,,,
12.14,"12.14f,",,,,
13.652,"13.652f,",,,,
14,"14f,",,,,
14.76,"14.76f,",,,,
15.9,"15.9f,",,,,
16.316,"16.316f,",,,,
18.119,"18.119f,",,,,
18.496,"18.496f,",,,,
19.216,"19.216f,",,,,
19.544,"19.544f,",,,,
20.354,"20.354f,",,,,
20.759,"20.759f,",,,,
21.433,"21.433f,",,,,
21.824,"21.824f,",,,,
22.66,"22.66f,",,,,
23.1,"23.1f,",,,,
23.703,"23.703f,",,,,
24.132,"24.132f,",,,,
24.78,"24.78f,",,,,
25.266,"25.266f,",,,,
25.667,"25.667f,",,,,
27.138,"27.138f,",,,,
27.593,"27.593f,",,,,
28.228,"28.228f,",,,,
28.692,"28.692f,",,,,
29.347,"29.347f,",,,,
29.78,"29.78f,",,,,
30.223,"30.223f,",,,,
31.329,"31.329f,",,,,
33.468,"33.468f,",,,,
34.052,"34.052f,",,,,
34.305,"34.305f,",,,,
34.616,"34.616f,",,,,
35.718,"35.718f,",,,,
36.837,"36.837f,",,,,
37.938,"37.938f,",,,,
39.08,"39.08f,",,,,
40.151,"40.151f,",,,,
41.328,"41.328f,",,,,
42.483,"42.483f,",,,,
43.605,"43.605f,",,,,
44.785,"44.785f,",,,,
45.903,"45.903f,",,,,
47.017,"47.017f,",,,,
48.195,"48.195f,",,,,
49.277,"49.277f,",,,,
50.335,"50.335f,",,,,
51.429,"51.429f,",,,,
52.457,"52.457f,",,,,
53.595,"53.595f,",,,,
54.792,"54.792f,",,,,
55.952,"55.952f,",,,,
57.057,"57.057f,",,,,
58.173,"58.173f,",,,,
59.222,"59.222f,",,,,
60.425,"60.425f,",,,,
61.527,"61.527f,",,,,
62.684,"62.684f,",,,,
63.785,"63.785f,",,,,
64.894,"64.894f,",,,,
66.063,"66.063f,",,,,
67.25,"67.25f,",,,,
69.433,"69.433f,",,,,
71.636,"71.636f,",,,,
73.976,"73.976f,",,,,
74.423,"74.423f,",,,,
74.773,"74.773f,",,,,
75.088,"75.088f,",,,,
76.67,"76.67f,",,,,
76.965,"76.965f,",,,,
77.749,"77.749f,",,,,
78.099,"78.099f,",,,,
78.867,"78.867f,",,,,
79.232,"79.232f,",,,,
81.138,"81.138f,",,,,
81.45,"81.45f,",,,,
82.26,"82.26f,",,,,
82.595,"82.595f,",,,,
83.415,"83.415f,",,,,
83.73,"83.73f,",,,,
84.457,"84.457f,",,,,
84.82,"84.82f,",,,,
85.593,"85.593f,",,,,
85.955,"85.955f,",,,,
86.717,"86.717f,",,,,
87.089,"87.089f,",,,,
87.868,"87.868f,",,,,
88.221,"88.221f,",,,,
88.578,"88.578f,",,,,
90.08,"90.08f,",,,,
90.443,"90.443f,",,,,
91.209,"91.209f,",,,,
91.58,"91.58f,",,,,
92.352,"92.352f,",,,,
92.728,"92.728f,",,,,
93.121,"93.121f,",,,,
94.606,"94.606f,",,,,
94.99,"94.99f,",,,,
95.736,"95.736f,",,,,
96.093,"96.093f,",,,,
96.882,"96.882f,",,,,
97.25,"97.25f,",,,,
97.979,"97.979f,",,,,
98.37,"98.37f,",,,,
99.103,"99.103f,",,,,
99.506,"99.506f,",,,,
100.192,"100.192f,",,,,
100.595,"100.595f,",,,,
101.353,"101.353f,",,,,
101.755,"101.755f,",,,,
102.142,"102.142f,",,,,
103.62,"103.62f,",,,,
103.992,"103.992f,",,,,
104.703,"104.703f,",,,,
105.078,"105.078f,",,,,
105.786,"105.786f,",,,,
106.183,"106.183f,",,,,
106.608,"106.608f,",,,,
109.986,"109.986f,",,,,
110.537,"110.537f,",,,,
110.759,"110.759f,",,,,
111.18,"111.18f,",,,,
