its my life normal,,,,ïœçX,,,
,,,,,,,
3.058,3.1,"3.1f,",,2.2,"2.2f,",,0.1
3.534,3.5,"3.5f,",,2.6,"2.6f,",,
3.94,3.9,"3.9f,",,3,"3f,",,
4.418,4.4,"4.4f,",,3.5,"3.5f,",,
4.712,4.7,"4.7f,",,3.8,"3.8f,",,
5.412,5.4,"5.4f,",,4.5,"4.5f,",,
5.881,5.9,"5.9f,",,5,"5f,",,
6.363,6.4,"6.4f,",,5.5,"5.5f,",,
6.858,6.9,"6.9f,",,6,"6f,",,
7.145,7.1,"7.1f,",,6.2,"6.2f,",,
7.793,7.8,"7.8f,",,6.9,"6.9f,",,
8.302,8.3,"8.3f,",,7.4,"7.4f,",,
8.719,8.7,"8.7f,",,7.8,"7.8f,",,
9.264,9.3,"9.3f,",,8.4,"8.4f,",,
9.574,9.6,"9.6f,",,8.7,"8.7f,",,
10.293,10.3,"10.3f,",,9.4,"9.4f,",,
10.544,10.5,"10.5f,",,9.6,"9.6f,",,
10.884,10.9,"10.9f,",,10,"10f,",,
11.167,11.2,"11.2f,",,10.3,"10.3f,",,
11.456,11.5,"11.5f,",,10.6,"10.6f,",,
11.756,11.8,"11.8f,",,10.9,"10.9f,",,
12.056,12.1,"12.1f,",,11.2,"11.2f,",,
12.338,12.3,"12.3f,",,11.4,"11.4f,",,
12.668,12.7,"12.7f,",,11.8,"11.8f,",,
12.966,13,"13f,",,12.1,"12.1f,",,
13.163,13.2,"13.2f,",,12.3,"12.3f,",,
13.348,13.3,"13.3f,",,12.4,"12.4f,",,
13.583,13.6,"13.6f,",,12.7,"12.7f,",,
13.738,13.7,"13.7f,",,12.8,"12.8f,",,
13.901,13.9,"13.9f,",,13,"13f,",,
14.093,14.1,"14.1f,",,13.2,"13.2f,",,
14.336,14.3,"14.3f,",,13.4,"13.4f,",,
14.965,15,"15f,",,14.1,"14.1f,",,
15.281,15.3,"15.3f,",,14.4,"14.4f,",,
15.462,15.5,"15.5f,",,14.6,"14.6f,",,
15.644,15.6,"15.6f,",,14.7,"14.7f,",,
15.909,15.9,"15.9f,",,15,"15f,",,
16.091,16.1,"16.1f,",,15.2,"15.2f,",,
16.266,16.3,"16.3f,",,15.4,"15.4f,",,
16.45,16.5,"16.5f,",,15.6,"15.6f,",,
16.759,16.8,"16.8f,",,15.9,"15.9f,",,
17.462,17.5,"17.5f,",,16.6,"16.6f,",,
17.748,17.7,"17.7f,",,16.8,"16.8f,",,
17.921,17.9,"17.9f,",,17,"17f,",,
18.098,18.1,"18.1f,",,17.2,"17.2f,",,
18.348,18.3,"18.3f,",,17.4,"17.4f,",,
18.521,18.5,"18.5f,",,17.6,"17.6f,",,
18.706,18.7,"18.7f,",,17.8,"17.8f,",,
18.861,18.9,"18.9f,",,18,"18f,",,
19.124,19.1,"19.1f,",,18.2,"18.2f,",,
19.53,19.5,"19.5f,",,18.6,"18.6f,",,
19.848,19.8,"19.8f,",,18.9,"18.9f,",,
20.306,20.3,"20.3f,",,19.4,"19.4f,",,
20.781,20.8,"20.8f,",,19.9,"19.9f,",,
21.316,21.3,"21.3f,",,20.4,"20.4f,",,
21.639,21.6,"21.6f,",,20.7,"20.7f,",,
22.188,22.2,"22.2f,",,21.3,"21.3f,",,
22.519,22.5,"22.5f,",,21.6,"21.6f,",,
22.696,22.7,"22.7f,",,21.8,"21.8f,",,
22.878,22.9,"22.9f,",,22,"22f,",,
23.196,23.2,"23.2f,",,22.3,"22.3f,",,
23.358,23.4,"23.4f,",,22.5,"22.5f,",,
23.514,23.5,"23.5f,",,22.6,"22.6f,",,
23.683,23.7,"23.7f,",,22.8,"22.8f,",,
23.989,24,"24f,",,23.1,"23.1f,",,
24.616,24.6,"24.6f,",,23.7,"23.7f,",,
24.944,24.9,"24.9f,",,24,"24f,",,
25.135,25.1,"25.1f,",,24.2,"24.2f,",,
25.321,25.3,"25.3f,",,24.4,"24.4f,",,
25.571,25.6,"25.6f,",,24.7,"24.7f,",,
25.759,25.8,"25.8f,",,24.9,"24.9f,",,
25.918,25.9,"25.9f,",,25,"25f,",,
26.091,26.1,"26.1f,",,25.2,"25.2f,",,
26.346,26.3,"26.3f,",,25.4,"25.4f,",,
26.728,26.7,"26.7f,",,25.8,"25.8f,",,
27.076,27.1,"27.1f,",,26.2,"26.2f,",,
27.53,27.5,"27.5f,",,26.6,"26.6f,",,
27.995,28,"28f,",,27.1,"27.1f,",,
28.317,28.3,"28.3f,",,27.4,"27.4f,",,
28.721,28.7,"28.7f,",,27.8,"27.8f,",,
29.149,29.1,"29.1f,",,28.2,"28.2f,",,
29.469,29.5,"29.5f,",,28.6,"28.6f,",,
29.763,29.8,"29.8f,",,28.9,"28.9f,",,
29.926,29.9,"29.9f,",,29,"29f,",,
30.12,30.1,"30.1f,",,29.2,"29.2f,",,
30.364,30.4,"30.4f,",,29.5,"29.5f,",,
30.535,30.5,"30.5f,",,29.6,"29.6f,",,
30.693,30.7,"30.7f,",,29.8,"29.8f,",,
30.85,30.9,"30.9f,",,30,"30f,",,
31.151,31.2,"31.2f,",,30.3,"30.3f,",,
31.819,31.8,"31.8f,",,30.9,"30.9f,",,
32.171,32.2,"32.2f,",,31.3,"31.3f,",,
32.328,32.3,"32.3f,",,31.4,"31.4f,",,
32.529,32.5,"32.5f,",,31.6,"31.6f,",,
32.764,32.8,"32.8f,",,31.9,"31.9f,",,
32.946,32.9,"32.9f,",,32,"32f,",,
33.116,33.1,"33.1f,",,32.2,"32.2f,",,
33.274,33.3,"33.3f,",,32.4,"32.4f,",,
33.579,33.6,"33.6f,",,32.7,"32.7f,",,
34.196,34.2,"34.2f,",,33.3,"33.3f,",,
34.556,34.6,"34.6f,",,33.7,"33.7f,",,
34.749,34.7,"34.7f,",,33.8,"33.8f,",,
34.919,34.9,"34.9f,",,34,"34f,",,
35.196,35.2,"35.2f,",,34.3,"34.3f,",,
35.358,35.4,"35.4f,",,34.5,"34.5f,",,
35.531,35.5,"35.5f,",,34.6,"34.6f,",,
35.686,35.7,"35.7f,",,34.8,"34.8f,",,
35.961,36,"36f,",,35.1,"35.1f,",,
36.286,36.3,"36.3f,",,35.4,"35.4f,",,
36.646,36.6,"36.6f,",,35.7,"35.7f,",,
37.081,37.1,"37.1f,",,36.2,"36.2f,",,
37.846,37.8,"37.8f,",,36.9,"36.9f,",,
39.076,39.1,"39.1f,",,38.2,"38.2f,",,
39.349,39.3,"39.3f,",,38.4,"38.4f,",,
39.521,39.5,"39.5f,",,38.6,"38.6f,",,
39.727,39.7,"39.7f,",,38.8,"38.8f,",,
39.958,40,"40f,",,39.1,"39.1f,",,
40.121,40.1,"40.1f,",,39.2,"39.2f,",,
40.293,40.3,"40.3f,",,39.4,"39.4f,",,
40.463,40.5,"40.5f,",,39.6,"39.6f,",,
